Volatile_compounds,Analysis_method
1-Pentacosene,GC-MS
1-Tetracosene,GC-MS
Geranyllinalool,GC-MS
"Eudesm-11-en-4-alpha,6alpha-diol",GC-MS
Cyclopentadecanol,GC-MS
1-Docosene,GC-MS
alpha-Myrcene,GC-MS
Baeckeol,GC-MS
"(1r,3s,5r)-6,6-Dimethyl-2-methylidenebicyclo[3.1.1]heptan-3-ol",GC-MS
Isobutyl isobutyrate,GC-MS
epi-Globulol,GC-MS
"p-Menthane-3,8-diol",GC-MS
"2,6-Dimethyl-5-heptenal",GC-MS
"(2S,4R)-4-methyl-2-(2-methylprop-1-en-1-yl)tetrahydro-2H-pyran",GC-MS
Pulegol,GC-MS
Jasmone,GC-MS
d-Piperitone,GC-MS
4-Isopropylbenzaldehyde,GC-MS
alpha-Phellandrene,GC-MS
"(E,E) -3,7, 11-trimethyl 2,6,10-dodecatriene-1-alcohol acetate",GC-MS
"Cyclopropanecarboxylic acid, 3-ethenyl-2,2-dimethyl-, cis-",GC-MS
Benzyl salicylate,GC-MS
"o-Menth-8-ene,4-isopropylidene-1-vinyl",GC-MS
Ledene,GC-MS
rimuene,GC-MS
verticiol,GC-MS
4-isopropylidene-1-vinyl-o-Menth-8-ene,GC-MS
alpha-Elemene,GC-MS
"2,4,4-Trimethyl-3-hydroxymethyl-5a-(3-methyl-but-2-enyl)-cyclohexene",GC-MS
"alpha-ethenyl-alpha,3-dimethyl-6-(1-methylethylidene)-3-cyclohexene-1-ethanol",GC-MS
"3, 7, 7-Trimethylbicyclo[ 410] hept-3-ene",GC-MS
"Cadina-1,4-diene",GC-MS
cis-2-Hexen-1-ol,GC-MS
Methyl anthranilate,GC-MS
"Benzene, 1,2-dimethoxy-4-(1-propenyl)-",GC-MS
"2H-Pyran-2-one, tetrahydro-6-(2-pentenyl)-, (Z)-",GC-MS
"3-Cyclohexene-1-methanol, trimethyl-",GC-MS
"Decanoic acid, 10-fluoro-, trimethylsilyl ester",GC-MS
"Benzeneethanol, alpha-butyl-",GC-MS
Geranyl benzoate,GC-MS
Butyl citrate,GC-MS
"Linolenic acid, trimethylsilyl ester",GC-MS
Geranyl bromide,GC-MS
Acetyl tributyl citrate,GC-MS
"Benzoic acid, methyl ester",GC-MS
"Benzeneethanol, butyl-",GC-MS
"1,2-Benzenedicarboxylic acid, mono(2-ethylhexyl)",GC-MS
2-Hexanoylfuran,GC-MS
"1-(3-furyl)-2, 2-dimethyl-3-buten-1-ol",GC-MS
"1-(2-furanyl)-3-methyl-3-Butene-1, 2-diol",GC-MS
Artemisia alcohol,GC-MS
yomogi alcohol,GC-MS
"Cyclopentaneacetic acid, 3-oxo-2-pentyl-, propyl ester",GC-MS
"1-(2,5-dimethylphenyl)ethanone",GC-MS
Furfuryl alcohol,GC-MS
Phenol,GC-MS
5-Methylfurfuryl alcohol,GC-MS
2-(1-Methylethylidene)cyclohexanone,GC-MS
2-Acetyl furan,GC-MS
3-methyl-2-enyl cyclohexanone,GC-MS
1- (5-methyl-2-furan -) acetone,GC-MS
"1, 4 - diketone cyclopentene",GC-MS
o-Cresol,GC-MS
"Phthalic acid, methyl 2-propyl ester",GC-MS
butyl isobutyl phthalate,GC-MS
"5-(3,3-Dimethyloxiran-2-yl)-3-methylpent-1-en-3-ol",GC-MS
2-methoxy-4-vinylphenol,GC-MS
alpha-panasinsen,GC-MS
Diphenylamine,GC-MS
"Cyclobutane, 1,2-bis(1-methylethenyl)-, trans-",GC-MS
"l-(+)-Ascorbic acid 2,6-dihexadecanoate",GC-MS
"1,4-Cyclohexadiene, 3-ethenyl-1,2-dimethyl-",GC-MS
1-Terpinen-4-ol,GC-MS
"Bicyclo[2.2.1]hept-2-ene, 2,7,7-trimethyl-",GC-MS
(R)-1-Methyl-5-(1-methylvinyl)cyclohexene,GC-MS
3-Cyclohexen-1-ol，4-methyl-1-( 1-methylethyl) -,GC-MS
"Octadecanoic acid, 12-hydroxy-, homopolymer, octadecanoate",GC-MS
Hexadecanoic acid methyl ester,GC-MS
"9,12,15-Octadecatrienoic acid, methyl ester, (9Z,12Z,15Z)-",GC-MS
9，12 － Octadecadienoic acid methyl ester,GC-MS
"Octadecanoic acid, 12-hydroxy-, homopolymer, octadecanoate methyl ester",GC-MS
Pentadecanoic acid,GC-MS
"1,4-Eicosadiene",GC-MS
"10,13-Octadecadienoic acid",GC-MS
"2-Methyl-Z,Z-3,13-octadecadienol",GC-MS
Heptadecanoic acid,GC-MS
11-octadecenoic acid,GC-MS
Tetradecyl 2-valerate,GC-MS
Azelaic Acid,GC-MS
octadec-9-yne,GC-MS
8 - (2-furan) octanoic acid ester,GC-MS
iso-Pyrethrin I,GC-MS
iso-Pyrethrin II,GC-MS
Pyrethrin I,GC-MS
Cinerin I,GC-MS
Cinerin II,GC-MS
Jasmolin I,GC-MS
Lupeol,GC-MS
Jasmolin II,GC-MS
beta-amyrin,GC-MS
Pyrethrin II,GC-MS
ethyl hexanoate,GC-MS
n-pentadecane,GC-MS
"1,3-Cyclopentadiene, 1,2,3,4-tetramethyl-5-methylene-",GC-MS
"2,3,4,6-Tetramethylphenol",GC-MS
Promecarb,GC-MS
"Benzene, 1-methoxy-4-methyl-2-(1-methylethyl)-",GC-MS
3-Methyl-4-isopropylphenol,GC-MS
"3-Cyclohexen-1-ol, 4-methyl-1-(1-methylethyl)-, (R)-",GC-MS
(-)-Linalool,GC-MS
Berkheyaradulen,GC-MS
l-carvone,GC-MS
delta-cadinene,GC-MS
alpha-amorphene,GC-MS
oplopenone,GC-MS
endo-1-bourbonanol,GC-MS
alpha-Fenchene,GC-MS
"Cyclohexene, 1-methyl-4-(1-methylethyl)-",GC-MS
"Kaura-5,16-dien-18(or 19)-ol",GC-MS
"Naphthalenemethanol, 1, 2, 3, 4, 4a, 5, 6, 7-octahydro-alpha, alpha, 4a, 8-tetramethyl-, [ 2R-cis] -",GC-MS
4-Carene,GC-MS
Cedrol,GC-MS
"7-Isopropyl-1,1,4a-trimethyl-1,2,3,4,4a,9,10,10a-octahydrophenanthrene",GC-MS
"Kaur-16-ene, [ 8beta, 13beta] -",GC-MS
alpha-Cadinene,GC-MS
4-methylene-1-( 1-methylethyl) -,GC-MS
4-methyl-1-( 1-methylethyl) -,GC-MS
1-methyl-4-( 1-methylethylidene) -,GC-MS
(3R) -3，7-dimethyloct-6-en-1-ol,GC-MS
"1,5-Cyclodecadiene",GC-MS
D-germacrene,GC-MS
"4-methyl -(1, 5-dimethyl-4-vinyl) -3-cyclovinyl alcohol",GC-MS
"3,6,8, 8-tetramethyl-7-methylene - hexahydromo",GC-MS
"1, 3-dimethyl-8 - (1-methyl, vinyl) -3-tricycl-dectriene",GC-MS
torreyol,GC-MS
alpha-elemol,GC-MS
"1,1,5, 5-tetramethyl-hexahydromethylnaphthalene",GC-MS
"4, 7-dimethyl-1 - (1-methylvinyl) -hexahydronaphthalene",GC-MS
"3,3,7, 9-tetramethyl-7-tricycloundecene",GC-MS
"4-(2,6, 6-trimethyl-2-ethylcyclohexene) -2-butanone",GC-MS
caryophyllene oxide,GC-FID、GC-MS
humulene epoxide II,GC-FID、GC-MS
Caryophyllene,GC-FID、GC-MS
alpha-humulene,GC-FID、GC-MS
alpha-copaene,GC-FID、GC-MS
1-Pentadecanol,GC-FID、GC-MS
delta-cadinene,GC-FID、GC-MS
phytol,GC-FID、GC-MS
germacrene D,GC-FID、GC-MS
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-oll",GC-FID、GC-MS
alpha-Farnesene,GC-FID、GC-MS
linalool,GC-FID、GC-MS
germacrene B,GC-FID、GC-MS
beta-Elemene,GC-FID、GC-MS
beta-bourbonene,GC-FID、GC-MS
Nerolidol,GC-FID、GC-MS
viridiflorol,GC-FID、GC-MS
3-octanol,GC-FID、GC-MS
5-hydroxypentanal,GC-FID、GC-MS
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-ol",GC-FID、GC-MS
camphor,GC-FID、GC-MS
beta-thujone,GC-FID、GC-MS
"1-Phenyl-2,4-pentadiyne",GC-MS
Sclareol,GC-MS
(Z)-3-hexenol acetate,GC-MS
cis-Linalyl oxide (pyranoid),GC-MS
(Z)-3-hexenyl propanoate,GC-MS
(E)-geranyl acetone,GC-MS
(Z)-3-hexenyl isovalerate,GC-MS
N-Methylanthranilate,GC-MS
trans-Linalyl oxide (furanoid),GC-MS
3-methyl-3-hexen-1-yl butanoate,GC-MS
alpha-humulene,GC-MS
(E)-beta-ocimene,GC-MS
cis-Linalyl oxide (furanoid),GC-MS
"2H-Pyran-3(4H)-one, 6-ethenyldihydro-2,2,6-trimethyl-",GC-MS
1-octen-3-yl acetate,GC-MS
(2Z)-hexenyl isovalerate,GC-MS
hexyl isovalerate,GC-MS
(2E)-hexenyl isovalerate,GC-MS
alpha-cyclocitral,GC-MS
(E)-2-hexenyl acetate,GC-MS
n-hexyl acetate,GC-MS
Tetradecene,GC-FID/MS
beta-Ionone,GC-FID/MS
Geranylacetone,GC-FID/MS
Eucalyptol,GC-FID/MS
(E)-beta-damascenone,GC-FID/MS
Jasmone,GC-FID/MS
Linalool,GC-FID/MS
2-hydroxy-5-methylacetophenone,GC-FID/MS
Eugenol,GC-FID/MS
alpha-TERPINEOL,GC-FID/MS
cis-Linalyl oxide (furanoid),GC-FID/MS
"3,7-Dimethyl-1,6-octadien",GC-MS
1-beta-Pinene,GC-MS
3-Cyclohexen-1-ol,GC-MS
Trans-beta-ocimene,GC-MS
p-Cimene,GC-MS
Terpinene-4-ol,GC-MS
"Silane, (1,1-dimethylethyl)dimethyl(phenylmethoxy)-",GC-MS
"Hexadecanoic acid, methyl ester",GC-MS
"7-Octadecenoic acid, methyl ester",GC-MS
2-(2-Methoxy-5-methyl-phenyl)-propionaldehyd,GC-MS
"Tetradecanoic acid, 12-methyl-, methyl ester",GC-MS
"2-Undecanone, 6,10-dimethyl-",GC-MS
"Benzene, 1-isocyanato-2-methoxy-",GC-MS
"8-Octadecenoic acid, methyl ester",GC-MS
Methyl 14-methylheptadecanoate,GC-MS
Butyl decyl phthalate,GC-MS
"Pentadecanoic acid, 14-methyl-, methyl ester",GC-MS
"Benzene, 1-isocyanato-3-methoxy-",GC-MS
"Carbamic acid, (3-methylphenyl)-, methyl ester",GC-MS
"11-Octadecenoic acid, methyl ester",GC-MS
"13-Docosen-1-ol, (13Z)-",GC-MS
11-Eicosenol,GC-MS
Tetracos- 15-enoI,GC-MS
Octadec-9-enol,GC-MS
11-Octadecen-1-ol,GC-MS
Octadecanol,GC-MS
Eicos-11-enoic acid,GC-MS
Docos- 13-enoic,GC-MS
9-Octadecenoic acid,GC-MS
Tetracos-15-enoic acid,GC-MS
Hexadecanoic,GC-MS
trans-Vaccenic acid,GC-MS
9-Hexadecenoic acid,GC-MS
Docosanoic acid,GC-MS
Hypogeic acid,GC-MS
Octadecadienoic,GC-MS
Eicosanoic,GC-MS
alpha-Pinene,GC、GC-MS
myrcene,GC、GC-MS
Caryophyllene,GC、GC-MS
germacrene D,GC、GC-MS
beta-pinene,GC、GC-MS
limonene + beta-phellandrene (2:1),GC、GC-MS
(E)-beta-ocimene,GC、GC-MS
(Z)-beta-ocimene,GC、GC-MS
alpha-humulene,GC、GC-MS
alpha-Farnesene,GC、GC-MS
beta-Farnesene,GC、GC-MS
sabinene,GC、GC-MS
bornyl acetate,GC、GC-MS
camphene,GC、GC-MS
"2,6-Dimethyl-2,4,6-octatriene",GC、GC-MS
Methyl oleate,GC-MS
Hexyl formate,GC-MS
Sabinen,GC-MS
1-Tridecene,GC-MS
n-eicosane,GC-MS
cis-Caryophyllene,GC-MS
n-heptadecane,GC-MS
"5,7,11,15-tetramethyl-2-Hexadecen-1-ol",GC-MS
n-Pentadecanal,GC-MS
Cyclohexasiloxane,GC-MS
Cyclopentasiloxane,GC-MS
Silanediol,GC-MS
"Estra-1,3,5(10)-trien-17-ones",GC-MS
beta-Guaiene,GC-MS
Ledene oxide-(I),GC-MS
Aristolene epoxide,GC-MS
Geranyl vinyl ether,GC-MS
Estragole,GC-MS
"P-Metha-1,8-dien-3-one",GC-MS
beta-Damascenone,GC-MS
Isoamyl isovalerate,GC–MS/O
Dimethyl disulfide,GC–MS/O
Eucalyptol,GC–MS/O
Sabinene,GC–MS/O
Limonene,GC–MS/O
alpha‐Terpineol,GC–MS/O
Decanal,GC–MS/O
Myrcene,GC–MS/O
alpha‐Pinene,GC–MS/O
gamma‐Terpinene,GC–MS/O
Sabinaketone,GC–MS/O
alpha‐Terpinene,GC–MS/O
beta‐Phellandrene,GC–MS/O
Nonanal,GC–MS/O
beta‐Pinene,GC–MS/O
6-Octdecenoic acid,GC-MS
11-tetradecen-1-ol，(11Z) -,GC-MS
7-Tetradecenal，(7Z) -,GC-MS
a-selinene,GC-MS
1h-cyclopropa［a］naphthalene，1a，2，3，3a，4，5，6，7b-octahydro-1，1，3a， 7-tetramethyl-，［1ar-( 1a alpha ，3a ,GC-MS
"9，12-Octadecadienoic acid（Z,Z）",GC-MS
"9,17-Octadecadienal,(Z)",GC-MS
"pentadecane,8-heptyl",GC-MS
"oxacyclotetradecane-2,11-dione-methyl",GC-MS
"2，6，10-Dodecatrien-1-ol,3,7,11-trimethyl-",GC-MS
"1，4-methano-1H-indene,octahydro-1,7a-dimethyl-4-（1-methylethenyl）-[1S-（1alpha，3abate,4alpha,7abeta）]",GC-MS
"Benzene ethanol,4-hydroxy-C",GC-MS
Caprolactom,GC-MS
Cis-Linalyl oxide,GC-MS
Benzene ethanol,GC-MS
3-Vinylcyclohexanone,GC-MS
"17-octadien-3-ol,26-dimethy-",GC-MS
Benzene methanol,GC-MS
4-vinyl cyclohexene dioxide,GC-MS
"4H-pyran-4-one,2,6-dimethyl",GC-MS
"1,2-propanedio-3-methoxy",GC-MS
"Thiophene,2,3-dihydro-",GC-MS
Phenol-2-methoxy,GC-MS
Guaiacyl acetone,GC-MS
3-Enyl-2-methoxyphenol,GC-MS
Benzoic Acid,GC-MS
cyclohexyl ethyl alcohol,GC-MS
1，3-Dihydroxymethyl cyclopentane,GC-MS
cis-3-hexenyl formate,GC-MS
tetradecamethylcycloheptasiloxane,GC-MS
Dodecamethylcyclohexasiloxane,GC-MS
"cis-1,3-Dimethylcyclohexane",GC-MS
"2,4-Dimethyl hexane",GC-MS
3-methylheptane,GC-MS
hexadecamethylcyclooctasiloxane,GC-MS
Chlorobenzene,GC-MS
ethylcyclohexane,GC-MS
1-Methylnaphthalene,GC-MS
decamethylcyclopentasiloxane,GC-MS
Isophorone,GC-MS
cis-3-hexenyl acetate,GC-MS
Methyl 16-methylheptadecanoate,GC-MS
Octamethyl cyclotetrasiloxane,GC-MS
5-(2-methylpropyl)nonane,GC-MS
"1,2,4,5-Tetramethylbenzene",GC-MS
Ethylbenzene,GC-MS
"Tetradecane,2,6,10-trimethyl-",GC-MS
butyl2-ethylhexylphthalate,GC-MS
cis-9-Hexadecenal,GC-MS
Dimethyl adipate,GC-MS
"1,2,3,4-Tetramethylbenzene",GC-MS
beta-Terthienyl,GC-MS
2-Hexyl-1-decanol,GC-MS
5-(3-Buten-1-ynyl)-2-2’-bithienyl,GC-MS
E-ocimene,GC-MS
Cubenol,GC-MS
Bisabolene,GC-MS
1 -octen-3-ol,GC-MS
C8H14O,GC-MS
C10H16O,GC-MS
(Z)-3-hexenol,GC-MS
occidentalol,GC-MS
C8H12O2,GC-MS
Perillyl alcohol,GC-MS
C6H12O,GC-MS
p-menth-2-en-7-ol,GC-MS
"Benzene,1,2,3-trimethoxy-5-(2-propenyl)-",GC-MS
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl)",GC-MS
"4,6-Diamino-3-[4-methoxybenzyl]-1H-pyrazolo[3,4-d]pyrimidine",GC-MS
alpha-Methylstyrene,GC-MS
"3,4-Dimethoxycinnamic acid",GC-MS
4-Hydroxy-beta-ionone,GC-MS
"Benzene,1,4-dimethoxy-2,3,5,6-tetramethyl-",GC-MS
"1H-2,8a-Methanocyclopenta[a]cyclopropa[e]cyclodecen-11-one, 1a,2,5,5a,6,9,10,10a-octahydro-5,5a,6-tr",GC-MS
gamma-Sitosterol,GC-MS
"2,2-Dimethyl-6-methylene-1-[3,5-dihydroxy-1-",GC-MS
"Myo-Inositol, 4-C-methyl-",GC-MS
Diisobutyl phthalate,GC-MS
"2-[4-methyl-6-(2,6,6-trimethylcyclohex-1-enyl)hexa-1,3,5-trienyl]cyclohex-1-en-1-carboxaldehyde",GC-MS
6-epi-Shyobunol,GC-MS
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) easter",GC-MS
3-O-Methyl-d-glucose,GC-MS
"[1,10 -Bicyclopropyl]-2-octanoic acid, 20 -hexyl-, methyl ester",GC-MS
2-(((2-Ethylhexyl)oxy)carbonyl)benzoic acid,GC-MS
"7,9-di-tert-Butyl-1-oxaspiro(4,5)deca-6,9-diene-2,8-dione",GC-MS
"2,5-Di-tert-butyl-1,4-benzoquinone",GC-MS
"2,6,11,15-Tetramethylhexadecane",GC-MS
"Hexadecanoic acid, 2-hydroxy-1-(hydroxymethyl) ethyl ester",GC-MS
m-Xylene,GC-MS
"2,6,11-Trimethyl-dodecane",GC-MS
Benzene propanenitrile,GC-MS
"1,4-Dioxane-2,3-diol",GC-MS
3-Bromo-3-methyl-Butyric acid,GC-MS
1-hydroxy-2-Butanone,GC-MS
Propanoic acid,GC-MS
Isovaleric acid,GC-MS
"6,6-dimethyl-bicyclo[311]-2-heptene-2-Methanol",GC-MS
4-hydroxy-Benzaldehyde,GC-MS
"1,7-dimethyl-Naphthalene",GC-MS
Penzyl-methanol,GC-MS
"1,4-dimethyl-Naphthalene",GC-MS
Caryophyllene oxide,FT-IR、GC-MS
Isoaromadendreneep oxide,FT-IR、GC-MS
beta-Eudesmol,FT-IR、GC-MS
4-Isopropenylcyclohexanone,FT-IR、GC-MS
10'-Apocarotenal,FT-IR、GC-MS
Eicosapentaenoic acid,FT-IR、GC-MS
beta-Cadinene,FT-IR、GC-MS
E-Nerolidol,FT-IR、GC-MS
Linalool,FT-IR、GC-MS
a-Calacorene,FT-IR、GC-MS
Caryophyllene,FT-IR、GC-MS
Pentadecanoic acid,FT-IR、GC-MS
"(6E)-3,7,11-trimethyl-6,10-dodecadien-1-yn-3-ol",FT-IR、GC-MS
alpha-TERPINEOL,FT-IR、GC-MS
Phytol,FT-IR、GC-MS
caryophllene,GC-MS
sylvestrene,GC-MS
"3,7-dimethy-l1,3,7-octatriene",GC-MS
Elixene,GC-MS
ethyl stearate,GC-MS
ethyl ρ-methoxy cinnamate,GC-MS
2-Octylcyclopropaneoctanal,GC-MS
"(1aR,3aS,7bS)-1,1,3a,7-Tetramethyl-1a,2,3,3a,4,5,6,7b-octahydro-1H-cyclopropa[a]naphthalene",GC-MS
"12-Octadecadienoic acid (Z,Z)-9",GC-MS
1H-cycloprop［e］azulene，decahydro-1，1，7-trimethyl-4-methylene-,GC-MS
( － ) -myrtenyl acetate,GC-MS
bis ( cyclopentane ) ，2，2'-acetoxy ) -，1-rel-2-( trans ) -2'-( cis ) -1'-( trans) -,GC-MS
Z-alpha-trans-bergamotol,GC-MS
bicyclo［7 2 0］undec-4-ene，4，11，11-trimethyl-8-methylene-,GC-MS
7-bicyclo［4 1 0］hept-7-ylidene-bicylo［4 1 0］heptane,GC-MS
11-isopropylidene-tricyclo［4 3 1 1( 2，5) ］undecan-10-ol,GC-MS
pregn-5-en-20-one，3-hydroxy-,GC-MS
3( 10) -caren-4-ol,GC-MS
1H-cyclopropa［a］naphthalene，1a，2，3，5，6，7，7a，7b-octahydro-1， 1，7，7a-tetramethyl-,GC-MS
p-menth-1-en-8-ol，acetate,GC-MS
"Acetic acid,1,7,7-trimethyl- bicyclo ［221］hept-2-yl ester",GC-MS
"Cyclohexane, 1,2-diethenyl-4-(1-methylethylidene)-, cis-",GC-MS
"Acetic acid,butyl ester",GC-MS
［-］-Myrtenyl acetate,GC-MS
"1H-Cycloprop(e)azulen-7-ol, decahydro-1,1,7-trimethyl-4-methylene-, (1aR-(1aalpha,4aalpha,7beta,7abe",GC-MS
"Cycloheptane,4-methylene-1-methyl-2-［2-methyl-1-propen-1-yl］-1-vinyl-",GC-MS
"3-Cyclohexene-1-methanol,alpha,alpha,4-trimethyl ,acetate ssp-Menth-1-en-8-ol,acetate",GC-MS
"Bicylo ［410］heptane,7-bicyclo ［410］hept-7-ylidene-",GC-MS
"7-Oxabicyclo ［410］heptane,1-methyl-4［1-methylethenyl］-",GC-MS
"Bicyclo ［311］hept-2-ene-2-methanol,6,6-dimethy-",GC-MS
"Phenol,2-methoxy-",GC-MS
Diethyl succinate,GC-MS
"Butanedioic acid, hydroxy-, diethyl ester",GC-MS
2-Methoxy-4-methylphenol,GC-MS
"Benzeneacetic acid, ethyl ester",GC-MS
"Phenol,4-(ethoxymethyl)-2-methoxy",GC-MS
5-Hydroxymethylfurfural,GC-MS
"Ethanone, 1-(1H-pyrrol-2-yl)-",GC-MS
"Pentanoic acid, 4-oxo-, ethyl ester",GC-MS
4-Methoxybenzaldehyde,GC-MS
Ethyl nonanoate,GC-MS
Ethyl decanoate,GC-MS
"Cyclohexene,4-methylene,1-（1-methylethyl）-",GC-MS
1S-alpha-Pinene,GC-MS
"1,3,7-Octatriene,3,7-dimethyl-",GC-MS
"Naphthalene,1,2,3,5,6,7,8,8a-octahydro-, 1,9-dimethyl-7-［1-methylethenyl］-",GC-MS
"Naphthalene,1,2,3,4,4a,5,6,8a- octahydro-, 7-methyl-4-methylene-1-（ 1- methylethyl）-",GC-MS
"1H-Cyclopenta ［13］cyclopropa ［12］benzene, octahydro-",GC-MS
"Cedren-13-ol, 8-",GC-MS
Vetiverol,GC-MS
Myrcenone,GC-MS
"4,4-dimethyl-3-(3-methylbut-3-enylidene)-2-methylenebicyclo[410]heptane",GC-MS
"3-lsopropyl-6,7-dimethyl tricyclo[4400(2,8)]decane-9,10-diol",GC-MS
"3,3,8,8-Tetramethyltricyclo[5100 （2,4）]oct-5-ene-5-propanoic acid",GC-MS
"4abeta-Methyl-3,4,4a,5,6,7, 8,9-octahydro-2H-benzocycloheptene-2-one",GC-MS
"1-cydohexanone,2-meth yl-(3-methyl-2-oxobutyl)",GC-MS
4，11，11-trimethyl-8-methylene-bicyclo［7 2 0］undec-4-ene,GC-MS
3-( 2-methylpropyl) -cyclohexene,GC-MS
（1alpha，2beta，5alpha) -( + / － ) -5-methyl-2-( 1-methylethyl) -cyclohexanol,GC-MS
（Z) -7，11-dimethyl-3-methylene-1，6，10-dodecatriene,GC-MS
（E) -2-nonenal,GC-MS
3，3，6-trimethyl-1，5-heptadien-4-one,GC-MS
alpha-Phellandrene,GC、GC-MS
D-Limonene,GC、GC-MS
"1,5,5-Trimethyl-6-methylene-cyclohexene",GC、GC-MS
alpha-Caryophyllene,GC、GC-MS
Phytol,GC、GC-MS
tert-Butylbenzene,GC、GC-MS
"Cyclohexene, 4-methylene-1-(1-methylethyl)",GC、GC-MS
3-Carene,GC、GC-MS
"Bicyclo[310]hexane, 4-methylene-1-(1-methylethyl)",GC、GC-MS
"Ethanone, 1-(1,3a,4,5,6,7-hexahydro-4-hydroxy-3,8-dimethyl-5-azulenyl)-",GC、GC-MS
"Bicyclo[520]nonane, 2-methylene-4,8,8-trimethyl-4-vinyl-",GC、GC-MS
3-(Cyclohex-1-enyl)-furan,GC、GC-MS
(+)-alpha-Pinene,GC、GC-MS
M-cymene,GC、GC-MS
Alloisolongifolene,GC、GC-MS
"6-Octadecenoic acid,(6Z)-",GC、GC-MS
gamma-moller,GC、GC-MS
beta-Cadinene,GC、GC-MS
1-Caryophyllene,GC、GC-MS
7-Amino-4-methoxymethylcoumarin,GC、GC-MS
Androst-2，16-diene,GC、GC-MS
2-Acetylthiophene,GC、GC-MS
"1-Butanone,2-amino-1-[3,5-bis(1,1-dimethylethyl)-4-hydroxyphenyl]-3-methyl-",GC、GC-MS
"1,2,3,4,4a,5,6,8a-octahydro-7-methyl-4-methylene-1-（1-methylethyl）471-Naphthalene",GC、GC-MS
1-ethenyl-1-methy-2-（1-methylethenyl）-4-（1-methylethyliden）-Cyclohexane,GC、GC-MS
Caryophhyllene,GC、GC-MS
O-Cymene,GC、GC-MS
1-Octen-3-ol,GC、GC-MS
"［1ar-（1aalpha,4aalpha,7beta,7abeta,7balpha）］-decahydro-1,1,7-Trimethyl-4-methylene-1H-Cycloprop［e］az",GC、GC-MS
"1,2,4alpha,5,8,8alpha-hexahydro-4,7-dimethyl-1-（1-methylethenyl）–Naphthalene",GC、GC-MS
"Humulane-1,6-dien-3-ol",GC、GC-MS
"(3Z)-3,7-Dimethyl-1,3,6-octatriene",GC、GC-MS
［s-( E，E) ］-1-methyl-5-methylene-8-( 1-methylethyl) -1，6-Cyclodecadiene,GC-MS
Diisooctyl phthalate,GC-MS
Hexanedioic acid，bis( 2-ethylhexyl) ester,GC-MS
2-isopropyl-5-methyl-9-methylene-Bicyclo［4 4 0］dec-1-ene,GC-MS
1，2-Benzenedicarboxylic acid，butyl 2-methylpropyl ester,GC-MS
（1S-cis) -4，7-dimethyl-1-( 1-methylethyl) -1，2，3，5，6，8a-hexahydro-Naphthalene,GC-MS
［4aＲ-( 4aalpha，7alpha，8abeta) ］-4a-methyl-1-methylene-7-( 1-methylethenyl) -decahydro-Naphthalene,GC-MS
"(3as,3br,4s,7r,7ar)-7-methyl-3-methylidene-4-(propan-2-yl)octahydro-1h-cyclopenta[1,3]cyclopropa[1,2",GC-MS
［1Ｒ-( 1alpha，4beta，4abeta，8abeta) ］-1，6-dimethyl-4-( 1-methylethyl) - 1，2，3，4，4a，7，8，8a-octahydro-1-,GC-MS
"9,12－Octadecadienoic acid",GC-MS
T－Cadineol,GC-MS
"3（15）,7（14）－Caryophylladien－6－ol",GC-MS
Hunulene,GC-MS
beta－Cedran－8－ol,GC-MS
Eudesma－4（14）11－diene,GC-MS
Gurjunene,GC-MS
beta－Selinene,GC-MS
alpha－Selinene,GC-MS
Isoaromadendrene epoxide,GC-MS
linalool,GC、GC-MS
"9,12-octadecadienol",GC、GC-MS
Eucalyptol,GC、GC-MS
2-undecanone,GC、GC-MS
"9,12,15-octadecatrienol",GC、GC-MS
"2,6-dimethyl-3,5,7-octatrien-2-ol",GC、GC-MS
2-Tridecanone,GC、GC-MS
alpha-cadinol,GC、GC-MS
Hydroquinone,GC、GC-MS
Nerolidol,GC、GC-MS
9-octadecenol,GC、GC-MS
g－Terpinene,GC-MS
Cyclohexene，4－methylene－1－( 1－methylethyl) －,GC-MS
6，6－trimethyl－( 1theta) － bicyclo［311］hept－2－en,GC-MS
"1,3,6-Octatriene,3,7-dimethyl-, (3Z)-",GC-MS
Terpinen－4－ol,GC-MS
(-)-Bornyl acetate,GC-MS
3－methylene－6－( 1－methylethyl) －Cyclohexene,GC-MS
beta－Pinene,GC-MS
gamma－Elemene,GC-MS
2-Tridecanone,GC-MS
vinyl decanoate,GC-MS
vinyl laurate,GC-MS
linoleyl alcohol,GC-MS
(Z) -9，17-octadecadienal,GC-MS
cis，cis，cis-7，10，13-hexadecatrienal,GC-MS
4，5，6，6a-tetrahydro-2( 1H) - pentalenone,GC-MS
4-Terpineol,GC-MS
Phyto,GC-MS
"2 , 6-Dimethyl-3 , 5 , 7-oct atriene-2-ol, Z ,Z-",GC-MS
Germacrene-D,GC-MS
Ocimene mixture of Isomers,GC-MS
3 -cyclohexen-1-ol4-methyl-1-( 1-methylethyl),GC-MS
"1 -( 2, 3-dihydroxy-4-methoxy-6-meyhylphenyl)ethanone",GC-MS
